Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C16_H15_F6_N5_O.txt,-7.2,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C16_H15_F6_N5_O.txt,-7.1,8.996,3.048
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C16_H15_F6_N5_O.txt,-7.0,6.229,4.439
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C16_H15_F6_N5_O.txt,-7.0,8.582,2.499
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C16_H15_F6_N5_O.txt,-6.9,4.198,2.733
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C16_H15_F6_N5_O.txt,-6.9,4.112,2.734
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C16_H15_F6_N5_O.txt,-6.9,10.677,6.043
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C16_H15_F6_N5_O.txt,-6.8,3.177,2.452
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C16_H15_F6_N5_O.txt,-6.8,4.908,3.282
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C28_H27_N_O4_S.txt,-7.7,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C28_H27_N_O4_S.txt,-7.6,6.845,3.385
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C28_H27_N_O4_S.txt,-7.5,7.836,3.662
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C28_H27_N_O4_S.txt,-7.3,9.404,5.754
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C28_H27_N_O4_S.txt,-7.3,7.687,4.947
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C28_H27_N_O4_S.txt,-7.2,8.076,4.41
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C28_H27_N_O4_S.txt,-7.1,7.245,2.95
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C28_H27_N_O4_S.txt,-7.0,8.672,3.996
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_C28_H27_N_O4_S.txt,-6.9,7.336,3.525
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C10_H7_N3_S.txt,-5.7,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C10_H7_N3_S.txt,-5.4,2.573,2.022
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C10_H7_N3_S.txt,-5.4,5.794,2.472
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C10_H7_N3_S.txt,-5.4,9.579,8.609
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C10_H7_N3_S.txt,-5.3,9.608,8.539
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C10_H7_N3_S.txt,-5.3,5.663,4.526
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C10_H7_N3_S.txt,-5.0,13.232,12.061
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C10_H7_N3_S.txt,-5.0,8.921,7.98
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C10_H7_N3_S.txt,-4.9,9.17,8.158
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C11_H13_I_N4_O4.txt,-6.8,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C11_H13_I_N4_O4.txt,-6.8,3.129,2.1
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C11_H13_I_N4_O4.txt,-6.2,11.45,10.434
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C11_H13_I_N4_O4.txt,-6.0,10.891,10.107
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C11_H13_I_N4_O4.txt,-5.9,9.967,8.913
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C11_H13_I_N4_O4.txt,-5.9,10.852,9.969
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C11_H13_I_N4_O4.txt,-5.8,10.984,10.141
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C11_H13_I_N4_O4.txt,-5.8,8.627,7.822
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C11_H13_I_N4_O4.txt,-5.7,5.787,4.486
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C12_H11_CL_N2_O5_S.txt,-6.8,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C12_H11_CL_N2_O5_S.txt,-5.9,12.183,10.875
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C12_H11_CL_N2_O5_S.txt,-5.9,6.611,5.019
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C12_H11_CL_N2_O5_S.txt,-5.8,6.512,4.724
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C12_H11_CL_N2_O5_S.txt,-5.8,11.902,9.979
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C12_H11_CL_N2_O5_S.txt,-5.7,13.728,11.994
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C12_H11_CL_N2_O5_S.txt,-5.6,3.828,3.368
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C12_H11_CL_N2_O5_S.txt,-5.6,13.043,11.583
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C12_H11_CL_N2_O5_S.txt,-5.6,12.756,10.786
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C13_H18_N4_O3.txt,-5.8,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C13_H18_N4_O3.txt,-5.8,2.843,0.672
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C13_H18_N4_O3.txt,-5.7,13.462,11.755
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C13_H18_N4_O3.txt,-5.7,5.014,3.416
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_Formula_C13_H18_N4_O3.txt,-5.7,13.431,11.136
