Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_101989,-7.5,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_101989,-6.9,0.817,0.812
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_101989,-6.8,4.412,2.914
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_101989,-6.5,5.63,2.686
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_101989,-6.4,10.203,8.614
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_101989,-6.2,3.724,2.314
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_101989,-6.2,6.715,3.391
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_101989,-6.0,6.203,2.321
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_101989,-6.0,4.411,2.867
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_10836,-4.9,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_10836,-4.9,10.617,9.916
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_10836,-4.9,10.604,9.941
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_10836,-4.7,12.199,10.952
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_10836,-4.7,4.448,2.195
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_10836,-4.5,10.756,9.513
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_10836,-4.5,4.759,2.023
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_10836,-4.5,1.825,1.378
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_10836,-4.4,12.154,11.229
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-7.7,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-7.6,7.182,4.994
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-7.4,2.802,2.047
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-7.4,4.274,2.658
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-7.4,9.721,5.051
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-7.4,4.922,3.131
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-7.3,9.782,4.851
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-7.2,5.255,3.19
