Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_9UQ,-5.9,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_9UQ,-5.8,11.849,10.576
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_9UQ,-5.8,11.222,8.575
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_9UQ,-5.7,11.955,9.545
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_9UQ,-5.6,9.986,8.412
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_9UQ,-5.3,12.711,10.87
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_9UQ,-5.3,10.82,9.556
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_9UQ,-5.3,11.551,9.221
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_9UQ,-5.2,13.478,11.511
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4474,-6.5,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4474,-6.2,3.679,1.765
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4474,-6.1,5.843,2.285
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4474,-6.0,5.757,2.065
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4474,-5.9,6.694,2.96
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4474,-5.8,8.173,4.83
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4474,-5.7,7.492,3.013
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4474,-5.7,6.562,2.266
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4474,-5.7,6.915,2.899
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4499,-6.4,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4499,-6.1,2.342,1.69
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4499,-5.9,5.27,1.935
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4499,-5.6,6.08,2.016
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4499,-5.6,5.09,2.625
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4499,-5.5,6.041,2.673
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4499,-5.4,4.668,2.167
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4499,-5.4,5.875,2.271
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_4499,-5.4,5.161,2.397
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_6047,-5.6,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_6047,-5.5,2.464,2.154
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_6047,-5.4,5.187,2.806
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_6047,-5.4,12.615,10.5
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_6047,-5.4,5.616,1.994
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_6047,-5.4,12.668,10.357
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_6047,-5.2,5.742,2.18
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_6047,-5.0,5.42,2.351
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_6047,-5.0,12.259,10.837
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-8.4,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-8.4,2.513,1.449
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-8.3,7.594,4.472
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-8.2,10.411,4.072
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-8.2,3.863,2.386
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-8.2,6.574,4.833
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-8.1,10.521,4.171
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-8.1,4.9,2.604
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_16362,-8.1,10.62,4.165
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-7.2,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-7.2,7.927,3.576
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-7.1,5.639,3.69
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-7.0,3.591,2.12
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-7.0,3.741,3.067
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-7.0,5.861,3.518
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-6.9,6.156,3.394
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-6.9,9.522,1.462
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_132999,-6.9,7.758,3.532
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-8.0,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-7.2,10.959,6.847
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-6.9,10.508,8.705
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-6.9,11.418,7.626
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-6.8,10.367,6.174
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-6.6,10.13,6.266
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-6.5,12.195,8.84
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-6.5,9.711,5.227
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_638678,-6.5,9.408,5.893
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.5,0.0,0.0
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.2,5.02,1.876
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.2,5.116,1.934
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.2,4.791,1.893
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.2,5.626,2.244
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-5.0,4.931,2.121
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-4.9,3.185,2.021
Model_CYFIP2_R87C_DOPE___-161301.70313_minimized_5282381,-4.9,2.469,1.957
